setting	exposure	outcome	n	beta	lo	hi	p	q
S2_TCGA_PCAWG	WGD	cd8_tcell	716	-0.20646862335217536	-0.33488993239857373	-0.078047314305777	0.001664141966445759	0.005255185157197134
S2_TCGA_PCAWG	WGD	apm	716	-0.19851620142098467	-0.32122064398030004	-0.07581175886166928	0.0015559967990741847	0.005255185157197134
S2_TCGA_PCAWG	WGD	isg	716	-0.018496088433029998	-0.13744127500127573	0.10044909813521573	0.7602305476574442	0.8002426817446782
S2_TCGA_PCAWG	WGD	cgas_sting	716	-0.09574585747241847	-0.17385541470885923	-0.017636300235977703	0.01635576107903663	0.03634613573119251
S2_TCGA_PCAWG	WGD	tcell_inflamed	716	-0.24512064102070885	-0.3445352877989651	-0.14570599424245262	1.5868435224294587e-06	1.9042122269153506e-05
S2_TCGA_PCAWG	WGD	treg	716	-0.15591540660513492	-0.2548367701194434	-0.05699404309082644	0.0020488618367501205	0.0058538909621432015
S2_TCGA_PCAWG	WGD	myeloid	716	-0.2477436521819191	-0.3537487467249386	-0.1417385576388996	5.277724465221667e-06	5.277724465221667e-05
S2_TCGA_PCAWG	WGD	tgfb_stroma	716	-0.07877462694721121	-0.18847806715772789	0.03092881326330546	0.15903963873419474	0.24467636728337652
S2_TCGA_PCAWG	WGD	exhaustion	716	-0.2125626870807943	-0.3251033624533446	-0.100022011708244	0.00022496148700349933	0.0012270626563827237
S2_TCGA_PCAWG	ploidy	cytolytic	716	-0.17789579578369802	-0.2399799157464344	-0.11581167582096163	2.6571798085186262e-08	9.479014212664687e-07
S2_TCGA_PCAWG	ploidy	cd8_tcell	716	-0.10872796808316615	-0.17100201279327154	-0.04645392337306074	0.000643390476597478	0.002412714287240543
S2_TCGA_PCAWG	ploidy	apm	716	-0.10922748366186429	-0.16868277765411174	-0.04977218966961682	0.0003315935909509996	0.001657967954754998
S2_TCGA_PCAWG	ploidy	isg	716	-0.013424581009543314	-0.07117012587951271	0.04432096386042609	0.6482237316673948	0.7020427179164008
S2_TCGA_PCAWG	ploidy	cgas_sting	716	-0.06664523149519777	-0.10440581698976438	-0.02888464600063116	0.0005617796327666812	0.0022471185310667247
S2_TCGA_PCAWG	ploidy	tcell_inflamed	716	-0.1368074047304989	-0.18481916581556745	-0.08879564364543036	3.159671404221562e-08	9.479014212664687e-07
S2_TCGA_PCAWG	ploidy	treg	716	-0.09454755320834365	-0.14239462264999964	-0.04670048376668766	0.00011435060719722467	0.0008576295539791851
S2_TCGA_PCAWG	ploidy	myeloid	716	-0.12757525542909104	-0.17894767025027997	-0.07620284060790211	1.3389670255973392e-06	1.9042122269153506e-05
S2_TCGA_PCAWG	ploidy	tgfb_stroma	716	-0.04770692152679654	-0.10092874503050275	0.005514901976909674	0.07886059027847205	0.138925481976516
S2_TCGA_PCAWG	ploidy	exhaustion	716	-0.11781895950807376	-0.17229939156426768	-0.06333852745187984	2.4666483419743598e-05	0.0002114270007406594
S2_TCGA_PCAWG	chromo	cytolytic	716	-0.15236282697550071	-0.2842615100471554	-0.020464143903846016	0.023633565333781553	0.050643354286674755
S2_TCGA_PCAWG	chromo	cd8_tcell	716	-0.07269359005325188	-0.2035751097456058	0.05818792963910205	0.2758849568881454	0.3678466091841939
S2_TCGA_PCAWG	chromo	apm	716	-0.07923306300487853	-0.2042676222874257	0.045801496277668635	0.2138636742958336	0.308950176463759
S2_TCGA_PCAWG	chromo	isg	716	-0.0745230334396548	-0.19489105741228194	0.045844990532972335	0.22456616415085104	0.308950176463759
S2_TCGA_PCAWG	chromo	cgas_sting	716	-0.03650651887216097	-0.11590295074210885	0.04288991299778691	0.3669761152669229	0.4234339791541418
S2_TCGA_PCAWG	chromo	tcell_inflamed	716	-0.11171584466515982	-0.21373054845600048	-0.009701140874319156	0.03189117265038475	0.0637823453007695
S2_TCGA_PCAWG	chromo	treg	716	-0.022947138276985836	-0.12380649568208238	0.07791221912811072	0.6552398700553075	0.7020427179164008
S2_TCGA_PCAWG	chromo	myeloid	716	-0.07996087199683588	-0.18875525702319568	0.02883351302952393	0.1494680378767105	0.23600216506849028
S2_TCGA_PCAWG	chromo	tgfb_stroma	716	-0.03679751314187692	-0.14804314126575355	0.07444811498199971	0.5162794366787403	0.5760027568884682
S2_TCGA_PCAWG	chromo	exhaustion	716	-0.10220384145545984	-0.217051007306113	0.01264332439519332	0.081039864486301	0.138925481976516
S2_TCGA_PCAWG	chromo_any	cytolytic	716	-0.22489560086574403	-0.3492831498259618	-0.10050805190552624	0.0004110279675953989	0.00189705215813261
S2_TCGA_PCAWG	chromo_any	cd8_tcell	716	-0.11984220199161548	-0.24370063907803552	0.00401623509480456	0.05788429051382482	0.10524416457059058
S2_TCGA_PCAWG	chromo_any	apm	716	-0.13520071155964727	-0.25343750638659446	-0.016963916732700077	0.02507532402190262	0.05187998073497094
S2_TCGA_PCAWG	chromo_any	isg	716	-0.0843209133988726	-0.19837277507494955	0.02973094827720435	0.14707848179658542	0.23600216506849028
S2_TCGA_PCAWG	chromo_any	cgas_sting	716	-0.08025305127165747	-0.1553276271030915	-0.005178475440223429	0.036192755779815275	0.06786141708715364
S2_TCGA_PCAWG	chromo_any	tcell_inflamed	716	-0.18214312849976222	-0.2782306778909592	-0.08605557910856527	0.0002135558153973358	0.0012270626563827237
S2_TCGA_PCAWG	chromo_any	treg	716	-0.07551999510566268	-0.1709808365610407	0.019940846349715352	0.12082289224468494	0.20137148707447491
S2_TCGA_PCAWG	chromo_any	myeloid	716	-0.1447327907295327	-0.24746399994178492	-0.042001581517280506	0.005822015283399795	0.015194830227061846
S2_TCGA_PCAWG	chromo_any	tgfb_stroma	716	-0.05610689678107272	-0.16151194605433727	0.049298152492191834	0.29634925642559784	0.3704365705319973
S2_TCGA_PCAWG	chromo_any	exhaustion	716	-0.14054071585114858	-0.2491513826136355	-0.03193004908866166	0.01128115845705641	0.0260334425932071
S2_TCGA_PCAWG	PGA	cytolytic	716	-0.11326298085957252	-0.1765833553850198	-0.049942606334125256	0.0004731359758264539	0.0020277256106848024
S2_TCGA_PCAWG	PGA	cd8_tcell	716	-0.06833227657849322	-0.13133090670174954	-0.005333646455236901	0.033553667576004996	0.06494258240517095
S2_TCGA_PCAWG	PGA	apm	716	-0.09526642638405132	-0.1552490451798999	-0.03528380758820274	0.0018930055161976798	0.005679016548593039
S2_TCGA_PCAWG	PGA	isg	716	-0.03609556519964001	-0.09416889096623682	0.0219777605669568	0.22275782328692256	0.308950176463759
S2_TCGA_PCAWG	PGA	cgas_sting	716	-0.05100693329440442	-0.08915095514502169	-0.012862911443787144	0.008841421556644772	0.021219411735947453
