setting	exposure	outcome	n	beta	p	q
nonTCGA (shared histologies only)	ploidy	tcell_inflamed	259	0.020095301278925434	0.6194755548425557	0.9906777823275729
nonTCGA (shared histologies only)	ploidy	treg	259	-0.05767879604624217	0.1631742151443506	0.6993180649043597
nonTCGA (shared histologies only)	ploidy	myeloid	259	0.010718418853990486	0.8148872694763375	0.9906777823275729
nonTCGA (shared histologies only)	ploidy	tgfb_stroma	259	0.021437108374852867	0.66061300394916	0.9906777823275729
nonTCGA (shared histologies only)	ploidy	exhaustion	259	0.0017655073597505474	0.9687149379506972	0.9906777823275729
nonTCGA (shared histologies only)	chromo	cytolytic	259	0.045148590489562	0.6982241415049947	0.9906777823275729
nonTCGA (shared histologies only)	chromo	cd8_tcell	259	0.09160647473074653	0.4367526629260447	0.9752555068498505
nonTCGA (shared histologies only)	chromo	apm	259	0.007202399078972682	0.9450361567261237	0.9906777823275729
nonTCGA (shared histologies only)	chromo	isg	259	0.04749295527819793	0.6484725725756784	0.9906777823275729
nonTCGA (shared histologies only)	chromo	cgas_sting	259	0.07015981663112208	0.2950208954338653	0.8850626863015959
nonTCGA (shared histologies only)	chromo	tcell_inflamed	259	0.011832098082636567	0.8911046593166526	0.9906777823275729
nonTCGA (shared histologies only)	chromo	treg	259	-0.126001654223327	0.15363799837363887	0.6993180649043597
nonTCGA (shared histologies only)	chromo	myeloid	259	-0.15234928487436197	0.11824711530846979	0.6993180649043597
nonTCGA (shared histologies only)	chromo	tgfb_stroma	259	0.11079821535622744	0.28742951665620764	0.8850626863015959
nonTCGA (shared histologies only)	chromo	exhaustion	259	0.052223533376465896	0.5867995356588394	0.9906777823275729
nonTCGA (shared histologies only)	chromo_any	cytolytic	259	0.019524774381838274	0.8610384327767362	0.9906777823275729
nonTCGA (shared histologies only)	chromo_any	cd8_tcell	259	0.06721358565485597	0.5514096917436643	0.9906777823275729
nonTCGA (shared histologies only)	chromo_any	apm	259	0.007426891740356208	0.9408284271331121	0.9906777823275729
nonTCGA (shared histologies only)	chromo_any	isg	259	0.09401350703507817	0.34572981187949386	0.9428994869440742
nonTCGA (shared histologies only)	chromo_any	cgas_sting	259	0.09507855020000787	0.13798237250321882	0.6993180649043597
nonTCGA (shared histologies only)	chromo_any	tcell_inflamed	259	-0.002132621682696922	0.9794448271969839	0.9906777823275729
nonTCGA (shared histologies only)	chromo_any	treg	259	-0.11069471314277432	0.19074255740119583	0.7629702296047833
nonTCGA (shared histologies only)	chromo_any	myeloid	259	-0.13563107452699533	0.14659452441518328	0.6993180649043597
nonTCGA (shared histologies only)	chromo_any	tgfb_stroma	259	0.14085703064330732	0.15757537170406474	0.6993180649043597
nonTCGA (shared histologies only)	chromo_any	exhaustion	259	0.03376219853980965	0.7137616438317305	0.9906777823275729
nonTCGA (shared histologies only)	PGA	cytolytic	259	0.04634880370569149	0.3990208997540416	0.9752555068498505
nonTCGA (shared histologies only)	PGA	cd8_tcell	259	0.03410877697449354	0.5398243047808327	0.9906777823275729
nonTCGA (shared histologies only)	PGA	apm	259	0.07979948453316679	0.10485079605583858	0.6993180649043597
nonTCGA (shared histologies only)	PGA	isg	259	-0.026739380992417267	0.5867134977413585	0.9906777823275729
nonTCGA (shared histologies only)	PGA	cgas_sting	259	-0.0057502527428753974	0.8559246749453883	0.9906777823275729
nonTCGA (shared histologies only)	PGA	tcell_inflamed	259	0.06000785273649343	0.14061023978255804	0.6993180649043597
nonTCGA (shared histologies only)	PGA	treg	259	0.011366664783364011	0.7855824513213515	0.9906777823275729
nonTCGA (shared histologies only)	PGA	myeloid	259	0.09102021274273706	0.0477758264450595	0.6993180649043597
nonTCGA (shared histologies only)	PGA	tgfb_stroma	259	0.07024391126597065	0.1528610388098304	0.6993180649043597
nonTCGA (shared histologies only)	PGA	exhaustion	259	0.04983927227629631	0.27160373815511696	0.8850626863015959
nonTCGA (shared histologies only)	n_high	cytolytic	259	-0.0034721121246633754	0.9488893901077976	0.9906777823275729
nonTCGA (shared histologies only)	n_high	cd8_tcell	259	0.04445697258390062	0.4170591223091821	0.9752555068498505
nonTCGA (shared histologies only)	n_high	apm	259	-0.009061377350417356	0.8520539264214393	0.9906777823275729
nonTCGA (shared histologies only)	n_high	isg	259	0.003268274644535032	0.9462308311999279	0.9906777823275729
nonTCGA (shared histologies only)	n_high	cgas_sting	259	0.0345329123536595	0.2677042316055473	0.8850626863015959
nonTCGA (shared histologies only)	n_high	tcell_inflamed	259	0.0084106206732148	0.834253055263694	0.9906777823275729
nonTCGA (shared histologies only)	n_high	treg	259	-0.07206842431659177	0.07900673135685515	0.6993180649043597
nonTCGA (shared histologies only)	n_high	myeloid	259	-0.06906720616114141	0.12787006651939992	0.6993180649043597
nonTCGA (shared histologies only)	n_high	tgfb_stroma	259	-0.013881392395061157	0.7746754860593947	0.9906777823275729
nonTCGA (shared histologies only)	n_high	exhaustion	259	0.009704425867428736	0.8281360487172215	0.9906777823275729
nonTCGA (solid only)	WGD	cytolytic	260	-0.018085547079086654	0.878349687744639	0.983976072457376
nonTCGA (solid only)	WGD	cd8_tcell	260	-0.019395255587241877	0.8753939239662801	0.983976072457376
nonTCGA (solid only)	WGD	apm	260	-0.11306747062742255	0.290943667861378	0.983976072457376
nonTCGA (solid only)	WGD	isg	260	-0.16560857369928247	0.11474175346183671	0.9104759261622731
nonTCGA (solid only)	WGD	cgas_sting	260	-0.15057546376138276	0.03500430967980024	0.7000861935960048
nonTCGA (solid only)	WGD	tcell_inflamed	260	-0.05128520658979014	0.5806494741883373	0.983976072457376
nonTCGA (solid only)	WGD	treg	260	-0.11507763111694742	0.20956493593942008	0.983976072457376
nonTCGA (solid only)	WGD	myeloid	260	-0.018103240916175614	0.8596985484581657	0.983976072457376
nonTCGA (solid only)	WGD	tgfb_stroma	260	-0.10049908014648962	0.33950185221431356	0.983976072457376
nonTCGA (solid only)	WGD	exhaustion	260	-0.05973614291817194	0.5593129239437713	0.983976072457376
nonTCGA (solid only)	ploidy	cytolytic	260	0.010391458501844291	0.8528153018478312	0.983976072457376
nonTCGA (solid only)	ploidy	cd8_tcell	260	0.004111756034782171	0.9440917001785165	0.983976072457376
nonTCGA (solid only)	ploidy	apm	260	-0.006648344174902823	0.8958906334800774	0.983976072457376
nonTCGA (solid only)	ploidy	isg	260	-0.05626360195769954	0.2588710772881298	0.983976072457376
nonTCGA (solid only)	ploidy	cgas_sting	260	-0.0725089699636894	0.032191307399449254	0.7000861935960048
nonTCGA (solid only)	ploidy	tcell_inflamed	260	-0.008659794134904562	0.8440365948591453	0.983976072457376
nonTCGA (solid only)	ploidy	treg	260	-0.06163223033929091	0.1561141370367565	0.983976072457376
nonTCGA (solid only)	ploidy	myeloid	260	-0.02354535459232699	0.6276246338072811	0.983976072457376
nonTCGA (solid only)	ploidy	tgfb_stroma	260	-0.051716581930152765	0.2997109623003197	0.983976072457376
nonTCGA (solid only)	ploidy	exhaustion	260	-0.005377784285811429	0.9117365469381515	0.983976072457376
nonTCGA (solid only)	chromo	cytolytic	260	0.044480771082919986	0.69524312247934	0.983976072457376
nonTCGA (solid only)	chromo	cd8_tcell	260	0.09786979145393182	0.41001871761362607	0.983976072457376
nonTCGA (solid only)	chromo	apm	260	-0.16510527969621966	0.10808466189552941	0.9104759261622731
nonTCGA (solid only)	chromo	isg	260	0.006315774975796056	0.9502160407753224	0.983976072457376
nonTCGA (solid only)	chromo	cgas_sting	260	0.05790764610319925	0.4005866529527978	0.983976072457376
